ein,env,geo,tradeassoc,name,p3orgpur,fisyr,ntee1,nteecc,state,zip5,ntee2007a,tradeassoc
911927956,1,1,,PARTNERSHIP FOR A SUSTAINABLE METHOW,TO PROMOTE SUSTAINABLE ECONOMIC ACTIVITY IN THE METHOW VALLEY,1999,A,A03,WA,98856,C30,
526065505,1,4,,LANDSCAPE ARCHITECTURE FOUNDATION,PROMOTE EDUCATION AND RESEARCH IN LANDSCAPE ARCHITECTURE.,1998,A,A03,DC,20001,C03,
10425071,1,1,,FRIENDS OF ACADIA,TO ASSURE THE ENDURING PROTECTION AND APPRECIATION OF ACADIA NATIONAL PARK BY PROMOTING UNDERSTANDING OF THE PARK AND THE MAINE COAST LEGACY; BY UNDERTAKING PROJECTS DESIGNED TO ENSURE PRESERVATION AND MAINTENANCE OF PARK RESOURCES; AND BY ENCOURAGING THAT CARE BE EXERCISED IN THE AREA.,1998,A,A11,ME,4609,C34,
731317935,1,1,,OKLAHOMA AQUARIUM FOUNDATION,To build & support an aquarium,2001,A,A11,OK,74135,D11,
61203660,1,1,,"CORNWALL CONSERVATION TRUST, INC.","CHARITABLE, PROTECT ENVIRONMENT",2000,A,A11,CT,6796,C34,
581958248,1,4,,AUDUBON INSTITUTE FOUNDATION,,1998,A,A11,LA,70178,C11,
841155029,1,4,,ROCKY MOUNTAIN BUTTERFLY CONSORTIUM,EDUCATION AND SCIENTIFIC,1998,A,A19,CO,80030,D30,
50499148,1,2,,GROW SMART RHODE ISLAND,PROTECT AND IMPROVE RHODE ISLAND'S QUALITY OF LIFE BY PROMOTING BUSINESS AND RESIDENTIAL GROWTH IN URBAN/TOWN CENTERS & ADVANCING OPEN-LAND CONSERVATION.,1999,A,A19,RI,2903,S05,
30358029,1,4,,"POPULATION MEDIA CENTER, INC.",POPULATION ISSUES EDUCATION,1998,A,A30,VT,5482,Q38,
222547007,1,2,,SPORTSMAN'S ALLIANCE OF MAINE CONSERVATION & EDUCATION FUND,TO PROVIDE CONSERVATION EDUCATION WITHIN THE STATE OF MAINE.,1999,A,A33,ME,4330,D30,
520901863,1,4,,ENVIRONMENTAL LAW INSTITUTE,"RESEARCH & EDUCATION IN ENVIRONMENTAL LAW, POLICY & MANAGEMENT",1998,A,A33,DC,20036,C30,
251555430,1,4,,PURPLE MARTIN CONSERVATION ASSOCIATION,,1998,A,A40,PA,16444,D30,
942924999,1,4,,"CONSERVATION EARTH, INC. WILDLIFE ASSOCIATES",WILDLIFE AND ENVIRONMENTAL EDUCATION,1998,A,A40,CA,94044,D30,
481186674,1,1,,CEDAR COVE FELINE CONSERVATION PARK,"PROTECT ENDANGERED FELINES, AND EDUCATE THE PUBLIC.",1998,A,A50,KS,66053,D50,
680341188,1,1,,"CHICO CREEK NATURE CENTER, INC.","TO ENHANCE THE QUALITY OF ALL LIFE BY PROMOTING UNDERSTANDING, AWARENESS, APPRECIATION, AND KNOWLEDGE OF OUR ENVIRONMENT THROUGH EDUCATION, UTILIZING BEAUTIFUL BIDWELL PARK AS A FOCUS.",1998,A,A50,CA,95928,A56,
990322295,1,1,,FRIENDS OF THE WAIKIKI AQUARIUM,"THE PURPOSE OF THE FRIENDS OF THE WAIKIKI AQUARIUM (FOWA) IS TO HELP PEOPLE OF ALL AGES UNDERSTAND, LOVE, CARE FOR AND WORK TO PROTECT THE LIFE OF THE OCEAN THROUGH A COMMITMENT TO EXCELLENCE IN EDUCATIONAL AND ENTERTAINING EXPERIENCES, RESEARCH AND CONSERVATION. THE AQUARIUM REACHES OVER 290,000 VISITORS ANNUALLY INCLUDING 61,000 CHILDREN ADMITTED WITHOUT CHARGE. BIMONTHLY NEWSLETTERS ARE SENT TO THE FOWA MEMBERS (APPROXIMATELY 2,450 MEMBERS) INFORMING THEM OF NEW EXHIBITS, EVENTS AT THE",1998,A,A50,HI,96815,D50,
742395097,1,1,,VAIL ALPINE GARDEN FOUNDATION,BETTY FORD ALPINE GARDEN,1998,A,A50,CO,81657,C41,
570961897,1,2,,SOUTH CAROLINA AQUARIUM,"THE SOUTH CAROLINA AQUARIUM'S PRIMARY OBJECTIVE IS TO EDUCATE THE PUBLIC, AS WELL AS TO FOSTER A SENSE OF STEWARDSHIP AND TO PROMOTE CONSERVATION. THE AQUARIUM IS IN ITS TWO-YEAR PROCESS OF COLLECTING AND MAINTAINING ANIMALS FOR EXHIBITS. THEY ARE ALSO IN",1998,A,A50,SC,29401,D50,
232716461,1,1,,NORTH MUSEUM CORPORATION,NATURAL HISTORY & SCIENCE MUSEUM,1998,A,A50,PA,17603,A56,
